titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
I Love You Too,Dutch,None,2001,92 min,"Drama, Romance, European Production","When Reza enters writer Eric's life, she brings chaos and passion. As she moves in, her unpredictable behavior and self-destructive tendencies fuel jealousy and quixotic emotions.",Pelicula,https://filmzie.com/content/i-love-you-too-2001
Day Zero,English,Subtitles,2020,0 min,Documentary,Day Zero can be a starting point or an end. We are at a turning point in history. We can save this planet for the future or are we can destroy our environment to gain more economic growth. Through the eyes of people living close to nature we will be invited to experience the pristine nature that is at risk and get confronted with the question of how to balance our relationship with our environment. Are we part of a problem or part of a solution?,Serie,https://filmzie.com/content/day-zero-2020
Chocolate Strawberry Vanilla,English,None,2014,77 min,"Comedy, Drama","Warren Thompson, a lonely ice-cream van driver, becomes dangerously obsessed with TV soap starlet Katey George in this dark comedy/drama.",Pelicula,https://filmzie.com/content/chocolate-strawberry-vanilla-2014
A Drummer's Dream,English,None,2010,85 min,Documentary,"Experience a mesmerizing gathering of world-class drummers, showcasing explosive talent, diverse styles, and unforgettable performances. Prepare to be lifted to another dimension by their creative and spiritual freedom.",Pelicula,https://filmzie.com/content/a-drummers-dream-2010
Only Water in the Sea,Italian,English,2021,40 min,Documentary,"Uncover the impact of overfishing and unsustainable tourism in the Mediterranean. A story of survival, loss, and hope for the future.",Pelicula,https://filmzie.com/content/only-water-in-the-sea-2021
Desperadoes of the West,English,None,1950,167 min,Western,Ranchers face an unknown outlaw gang while drilling for oil. A promoter schemes against them. A gripping Western of deception and resilience unfolds.,Pelicula,https://filmzie.com/content/desperadoes-of-the-west
17 Days,English,None,2022,107 min,"Drama, Thriller","17 Days: A powerful, riveting film depicting Brianna Murphy and Damien Williams, whose fairytale romance transforms into a heart-wrenching nightmare. Touching hearts, shaking souls to the core.",Pelicula,https://filmzie.com/content/17-days-2022
Yols Discover Adventure Sports,English,English,2020,43 min,"Action, Adventure",Yols tries out a few different Adventure Sports activities and discovers which of those get the heart racing and which are just pure fun.,Pelicula,https://filmzie.com/content/yols-discover-adventure-sports-2020
New Space Adventures,English,Subtitles,2020,0 min,Documentary,"New Space Adventures will closely explore several of the greatest mysteries in space. From planets and moons, to deep space, New Space Adventures will bring viewers further than ever before into the great unknown. New information, along with interviews from experts, will both entertain and amaze. What discoveries are new in space? New Space Adventures will answer this question and many more.",Serie,https://filmzie.com/content/new-space-adventures-2020
Jacob: The Story Of A Suicide Survivor,English,English,2018,9 min,"Short, Comedy, Drama",A young man's life takes a cathartic turn after his brother's suicide. This true story highlights the importance of humor in dark moments.,Pelicula,https://filmzie.com/content/jacob-the-story-of-a-suicide-survivor-2018
Untangled,English,None,2022,83 min,"Drama, Romance","When an absence of communication reveals a love triangle, much more than lies come to light.",Pelicula,https://filmzie.com/content/untangled-2022
Bad Days,Spanish,English,2016,91 min,Thriller,Emilia and her mother Lucia are forced into isolation after her stepfather steals a shipment of emeralds. But the unexpected arrival of two hired assassins at the cabin where they are hiding out unleashes a dangerous and volatile standoff.,Pelicula,https://filmzie.com/content/bad-days-2016
"Three Little Pigs & More, Ruby's Storytime",English,English,2020,22 min,"Animation, Family","Immerse children in enchanting fairytales! Ruby breathes life into beloved stories like Three Little Pigs, Little Red Hen, Five Little Ducks, and Goodnight Moon. Exciting 3-D animation and uplifting messages await the little ones.",Pelicula,https://filmzie.com/content/three-little-pigs--more-rubys-storytime-2020
The Extendables,English,English,2014,85 min,Comedy,"A disgraced Hollywood icon gets a shot at mega stardom, starring and directing an action movie in Uzbekistan. Can he redeem his career? Exciting journey!",Pelicula,https://filmzie.com/content/the-extendables-2014
The Orator,Samoan,English,2011,110 min,Drama,"Saili, an unassuming villager & taro farmer, lives happily with his beautiful wife Vaaiga and her teenage daughter Litia. Their existence, whilst happy and peaceful; is unconventional. Vaiga has been banished from her ancestral village for many years. Saili faces serious threats to his plantation as well as his family & has been denied his fathers chiefly title.",Pelicula,https://filmzie.com/content/the-orator-2011
Mojave Shadows,English,None,2019,25 min,"Drama, Short",Susan hikes in the middle of the Mojave Desert in coming to terms with guilt of her son's death. Until one night she is attacked by a rattlesnake and finds herself stranded in the middle of the Mojave.,Pelicula,https://filmzie.com/content/mojave-shadows-2019
Dominant Chord,English,"English, Spanish, French",2019,8 min,"Drama, Short",Adam Charles is a closeted country music star who for years has kept his love-life under wraps while he built his country music career.  Now on the verge of being publicly outed he is forced to make the impossible and unfair choice between his career and the love of his life.,Pelicula,https://filmzie.com/content/dominant-chord-2019
No Ordinary Shepherd,English,English,2014,24 min,"Drama, Short","As the sun beams brightly on the hills surrounding Palestine, one young shepherd boy thoughtfully considers the significance of the day. The child, crippled in a terrible accident, has always treasured his shepherd father's tale of that starlit night so many years before - a night filled with the wonder of angelic heralds and a tiny Bethlehem stable sheltering the chosen Messiah.",Pelicula,https://filmzie.com/content/no-ordinary-shepherd-2014
Shelter,English,English,2015,91 min,"Drama, Sci-Fi, Thriller","Five survivors wait out nuclear winter in a bomb shelter. The group struggles against the clock until it's safe to return to the surface. As weeks turn into months, one room proves too small for five people.",Pelicula,https://filmzie.com/content/shelter-2015
What Other Couples Do,English,English,2013,87 min,"Comedy, Drama, Romance","During a dinner party, four married couples from Los Angeles engage in a playful game of 'Seven Minutes in Heaven,' igniting an evening of kisses and excitement.",Pelicula,https://filmzie.com/content/what-other-couples-do-2013
Wildlike,English,English,2014,104 min,"Adventure, Drama, Thriller","After conditions in her new home become unbearable, a teenage girl runs away and befriends an older man preparing for a hike through the Alaskan wilderness.",Pelicula,https://filmzie.com/content/wildlike-2014
Kung Fu Brother,English,English,2014,91 min,Action,"In this action packed, international comedy thriller, three cops and a female reporter are in hot pursuit of a murderer whose quest is to acquire the Sacred Kuji Denjo Scrolls. As the team traverses across the globe in this perilous adventure, they can't seem to avoid hand to hand combat battles, white knuckle car chases, sword fights, and explosive gun fights. The crew must find a way to discover the murderer fast enough so they are no longer targets of ancient Thailand's Weirding Clan. Directed by Marcus Aurelius.",Pelicula,https://filmzie.com/content/kung-fu-brother-2014
5150,English,English,2016,76 min,"Crime, Drama, Thriller","Three successful women, blackmailed by a vengeful, mentally-ill stepsister, resort to a horrific act to safeguard the secret of their fame and fortune.",Pelicula,https://filmzie.com/content/5150-2016
Being Sascha,German,English,2021,35 min,"Documentary, Short","Sascha's name wasn't always Sascha. But now it is. Sascha doesn't identify as a man or as a woman, but as trans non-binary. A story about what it means to live in a society that wasn't expecting you. A glimpse into a life that allows us to question our own categories. And a film about what it means to be oneself.",Pelicula,https://filmzie.com/content/being-sascha-2021
Spaces and Reservations,English,English,2014,140 min,Drama,"An intimate and unsparingly realistic relationship drama about a young couple being torn apart by malaise and infidelity, and the way in which the trauma of their breakup brings them back together again.",Pelicula,https://filmzie.com/content/spaces-and-reservations-2014
Lemon Drop,English,"English, French",2018,99 min,"Comedy, Romance, Drama","Desperate to step out of her famous mother's shadow and create her own legacy, an aspiring actress is taken under the wing of an eccentric film director who makes empty promises and surrounds her with reckless friends. An obsession with success leads her to a new, fast­paced lifestyle that eventually leaves her homeless, jobless and in the depths of a serious drug addiction.",Pelicula,https://filmzie.com/content/lemon-drop-2018
Victor's Body,Portuguese,English (embedded),2020,14 min,"Documentary, Short","A baby is born, but does not cry. A body screams and is not heard. Paints that run in a promised future do not reach a person with a disability. Victor makes himself the canvas in a universe of absent painters.",Pelicula,https://filmzie.com/content/victors-body-2020
Ancient Egyptian Family Feud,English,English,2021,50 min,Documentary,How did a female pharaoh and a young king bring about the final days of the Ramesside family? We investigate the end of Egypt's largest family and how the legacy of Ramses the Great came to an abrupt end.,Pelicula,https://filmzie.com/content/ancient-egyptian-family-feud-2021
Collisions,English,English,2018,80 min,Drama,"In San Francisco, 12-year-old Itan's life is upended when she returns home to find her mother missing. She turns to her estranged uncle, a truck driver, for support and guidance.",Pelicula,https://filmzie.com/content/collisions-2018
Living The Change: Inspiring Stories For a Sustainable Future,English,English,2018,85 min,Documentary,Living the Change film inspires sustainable living and tackling global crises. Directors Osmond and Wilson offer hope and invite action. Be part of the change!,Pelicula,https://filmzie.com/content/living-the-change-inspiring-stories-for-a-sustainable-future
The Boy,Tamil,English,2018,10 min,"Short, Drama",13-year-old boy Aswath exposes his desired sexuality at his birthday celebration. He likes girl's things and feels himself as a girl. All family members get upset except one person: the mother. Every mother in the world likes her children.,Pelicula,https://filmzie.com/content/the-boy-2018
Mila,Croatian,English,2021,30 min,"Animation, Short, Drama","Amidst Italy's Trento bombing of 1943, the CG animated short film portrays Mila, a little girl affected by the collateral damage and highlights the plight of civilian populations, especially children.",Pelicula,https://filmzie.com/content/mila-2021
Welcome Home,English,Subtitles,2015,0 min,"Comedy, Family","When three thirty-somethings have no choice but to move back home with their parents, they realize a lot has changed since they've been away.",Serie,https://filmzie.com/content/welcome-home-2015
Coda 77,Spanish,"English, Portuguese",2021,100 min,"Comedy, Drama, Mystery","Ulysses is a pianist who has to compose the soundtrack of a movie, while he is sure that some one enters his house when he is not. Meanwhile he tries to forget his ex-girlfriend, staying with several girls who humiliate him constantly.",Pelicula,https://filmzie.com/content/coda-77-2021
Fine Dining,English,English,2017,9 min,"Animation, Comedy, Short","This short animated film (Fine Dining) tells the story of a tired old vampire, determined to convince his lover to abandon the path of effortless consumption and give in to their long-abandoned animal instinct.",Pelicula,https://filmzie.com/content/fine-dining-2017
A Star Is Born,English,English,1937,110 min,"Drama, Romance","A young woman's Hollywood dreams come true with the aid of an alcoholic leading man whose glory days have faded. Together, they find stardom and more.",Pelicula,https://filmzie.com/content/a-star-is-born-1937
Animal Armory,English,Subtitles,2016,0 min,"Documentary, European Production","The lives of animals are not peaceful. They must be able to find food for themselves and their young and avoid becoming food themselves. Sometimes they must also compete with others of their own kind-for food, territory, or mates. Traps, lures and lies are well-known tricks of men, but they are also skillfully employed by creatures in the animal kingdom. From antlers to horns, humans have long been fascinated by the ability of animals to defend themselves with their natural-born weapons. The creatures featured in this TV-series demonstrate how resourceful and inspired nature can be to ensure survival in the animal world.",Serie,https://filmzie.com/content/animal-armory-2016
The Closet,Spanish,"English, Portuguese",2018,78 min,Drama,"Hiding in a closet with his life on the line, a priest reflects on his darkest secret while calling for help.",Pelicula,https://filmzie.com/content/the-closet-2018
Make Way For Animals!,English,English,2022,16 min,"Short, Family, Documentary","Roads divide nature, endangering wildlife. But innovative wildlife crossings emerged: badger bridges, elephant underpasses. These save lives, preserve ecosystems, and connect animals to vital resources, bypassing dangerous roads.",Pelicula,https://filmzie.com/content/make-way-for-animals-2022
Cocote,Spanish,English,2017,106 min,"Thriller, Mystery","An Evangelical Christian man attends the funeral services of his father in his hometown, where he has to participate in religious rites that clash with his beliefs and finds himself pressured to take revenge on the murderer.",Pelicula,https://filmzie.com/content/cocote-2017
A Flower from Heaven 3: The Power of Prayer,English,None,2021,124 min,"Family, Drama","A Flower From Heaven 3: A true-life drama of a young girl's prayers to bring her drug-addicted, bitter Father back home, despite his loss and anger towards God. Witness God's unfailing love for His children.",Pelicula,https://filmzie.com/content/a-flower-from-heaven-3-the-power-of-prayer-2021-0
Gugu,English,Subtitles,2015,0 min,"Animation, Family",Baby elephant Gugu gets captured by a band of evil poachers and thrust into an unfamiliar world.,Serie,https://filmzie.com/content/gugu-2015
Harvie Krumpet,English,English,2003,22 min,"Animation, Comedy, Short","The odd biography of a man who has Tourette's Syndrome, chronic bad luck, menial jobs, nudist tendencies, and a book of ""fakts"" hung around his neck.",Pelicula,https://filmzie.com/content/harvie-krumpet-2003
IRA,Italian,English,2018,83 min,Drama,"A boy meets a girl. He works at the market while she is a street prostitute. They soon develop a strong complicity that will lead them to do something desperate. In the background, a decaying and desolate metropolis.",Pelicula,https://filmzie.com/content/ira-2018
Wonder World of Science,English,Subtitles,1989,0 min,"Documentary, Animation, Family","Science for younger students explored through asking such questions as ""What is the brightest star""?, ""Why doesn't grass grow on the moon?"". Combines live action and animation with Wondercat",Serie,https://filmzie.com/content/wonder-world-of-science-1989
Memento Mori,French,English,2019,33 min,"Short, Drama","Paul, given a few days to live, leaves the hospital and embarks on a road trip across France. Aimlessly driving, seeking beauty, he encounters a young free spirit, altering the course of his final journey.",Pelicula,https://filmzie.com/content/memento-mori-2019
American Diamond,English,None,2012,40 min,"Documentary, Short",Experience the captivating legend of Dame Elizabeth Rosemond Taylor in this meticulously crafted documentary drama.,Pelicula,https://filmzie.com/content/american-diamond-2012
Summer Snow,English,None,2014,89 min,Drama,"Hallie Benson is a small girl with a big heart. Unfortunately, her creative ways of helping often create a mess. Dan Benson doesn't cook, do hair, or know how to help his three children without his beautiful wife and her unshakable faith.",Pelicula,https://filmzie.com/content/summer-snow-2014
Comrade Crunch,English,English,2016,15 min,"Action, Comedy, Drama, Short","In an effort to recapture joyful moments, a retired Russian assassin indulges in his cherished childhood cereal, seeking solace in nostalgia.",Pelicula,https://filmzie.com/content/comrade-crunch
Italy Italy,Persian,English,2017,102 min,"Comedy, Drama, Fantasy","Barfa and Nader's marriage starts strong but slowly crumbles, reaching crisis levels. Watch their compelling journey unfold.",Pelicula,https://filmzie.com/content/italy-italy-2017
Wonders Of Fayoum,English,English,2023,61 min,Documentary,"Far out in the middle of the deserts of Egypt emerges a paradise: the oasis of Fayoum. For thousands of years this unique landscape has hosted farmers, potters, nomads and Pharaohs. As well, we take a detour to see fossils that are millions of years old... Come with us as we have the adventure of a lifetime, in one of the most magical and beautiful places in all of Egypt.",Pelicula,https://filmzie.com/content/wonders-of-fayoum-2023
Nunca Jures Por la Luna,Spanish,English,2016,84 min,"Drama, Romance, European Production",Experience a captivating tale of love and resilience in a world of magic realism as two souls navigate the challenges of modern times.,Pelicula,https://filmzie.com/content/nunca-jures-por-la-luna-2016
Makatea Vertical Adventure,English,"English, French",2020,28 min,"Documentary, European Production","The sailing boat «Maewan» arrives in 2018 in Makatea, a unique island of Polynesia. A circle of coral raised about a hundred meters above a turquoise sea, a large variety of fauna and flora, a dream landscape... but also an exploited and abandoned island in the middle of the remains of the phosphate mines.",Pelicula,https://filmzie.com/content/makatea-vertical-adventure-2020
A Child's Voice,English,English,2018,79 min,"Drama, Horror, Mystery, Thriller",A homeless teenager responds to a child's cry for help and embarks on a quest to expose a human trafficking ring led by the child's murderer.,Pelicula,https://filmzie.com/content/a-childs-voice-2018
Che,Persian,English,2014,124 min,"Biography, Drama, War","An overview of the two-day doctor Mostafa Chamran life (commander of the Iran-Iraq War, who was educated in America and was expert in guerrilla warfare) this film about Defense for peace in the Paveh (city in Iran).",Pelicula,https://filmzie.com/content/che-2014
The Evangelist,English,None,2009,83 min,"Comedy, Drama","In Provincetown, MA, theater director Danny adopts Gideon, a religious fanatic. As Gideon's radical ideas stir up trouble, Danny faces a challenging dilemma. A thought-provoking story of faith and community.",Pelicula,https://filmzie.com/content/the-evangelist
8,Romanian,English (embedded),2018,12 min,"Drama, Short",8 minutes is the time to fly from Switzerland to Germany. 8 minutes is the time it takes light to travel from the Sun to the Earth. 8 minutes radically changed Andrew’s life.,Pelicula,https://filmzie.com/content/8-2018
Amigos,Spanish,English (embedded),1985,108 min,Comedy,"""AMIGOS,"" written and directed by Ivan Acosta, follows Ramon, a Marielito, as he navigates life in the United States. Watch free online for a story of adaptation, friendship, and the pursuit of a new life.",Pelicula,https://filmzie.com/content/amigos-1985
Heroes Manufactured: Creators Unleashed,English,Subtitles,2020,0 min,Reality TV,"A reality series following North America's top comic cons while showcasing the best of pop culture's creative talent. Heroes Manufactured: Creators Unleashed explores the world of illustration, cosplay, toy creation, game development, and much more...",Serie,https://filmzie.com/content/heroes-manufactured-creators-unleashed-2020
High Tide,Dutch,English (embedded),2018,22 min,"Drama, Short, European Production",A man takes himself to a woodland cottage to escape the pain and confusion of an impending divorce. Whilst enlisting the owner to fix the broken water he begins to uncover and embrace his hidden desires - a journey of self-discovery and healing.,Pelicula,https://filmzie.com/content/high-tide-2018
The Champions,English,English,2015,92 min,"Documentary, News","All odds were stacked against the pit-bulls rescued from quarterback Michael Vick's dogfighting ring. Forced to fight for their lives, they were considered so dangerous many wanted them euthanized. But no one could have predicted how the dogs would change the lives of those who risked everything to save them.",Pelicula,https://filmzie.com/content/the-champions-2015
Lawrence: After Arabia,English,"German, English, Spanish, French",2021,121 min,"Drama, Action, Adventure","Was a motorcycle crash an accident or attempt at assassination by the British Secret Service? ""Lawrence: After Arabia"" tells the story of the last years of the life of the 20th century hero, T.E. Lawrence - Lawrence of Arabia.",Pelicula,https://filmzie.com/content/lawrence-after-arabia-2021
Shadows on the Wall,English,English,2015,77 min,"Horror, Sci-Fi, Thriller","Three college students embark on a daring venture to transcend the known universe with their experimental device. Little did they know, their success would come with unforeseen consequences.",Pelicula,https://filmzie.com/content/shadows-on-the-wall-2015
Keep Busy,English,None,2020,2 min,"Action, Sport, European Production",An inspirational MTB video made during lockdown.,Pelicula,https://filmzie.com/content/keep-busy-2020
Lonesome Boy,Portuguese,English,2020,90 min,"Documentary, Drama, Family","Hugo, a teenager, imagines a movie about his loneliness.",Pelicula,https://filmzie.com/content/lonesome-boy-2020
Tales of Frankenstein,English,English,2018,112 min,"Comedy, Horror, Mystery","Based upon four of writer-director Donald F. Glut's short stories published in his book TALES OF FRANKENSTEIN: ""My Creation, My Beloved"" (a deformed descendant of Victor Frankenstein creates the perfect man and woman), ""Crawler from the Grave"" (another Frankenstein descendant's disembodied, plague-infected arm returns from the grave for revenge), ""Madhouse of Death"" (a private detective winds up in an old dark house filled with loonies...and a gorilla) and ""Dr. Karnstein's Creation"" (a mad doctor creates a monster in vampire-haunted Transylvania - with gruesomely unexpected results).",Pelicula,https://filmzie.com/content/tales-of-frankenstein
Carmen & Lola,Spanish,English,2018,102 min,"Drama, Romance","Witness the passionate love story of two Roma women, as they navigate societal expectations and embrace their forbidden connection. A heartfelt tale of romance and resilience.",Pelicula,https://filmzie.com/content/carmen--lola-2018
3 Days in Havana,English,English,2013,82 min,"Comedy, Crime, Drama","Jack Petty's trip to Havana for business takes a thrilling turn as he becomes entangled in an assassination plot with his newfound friend Harry Smith. Stream for free: ""Havana Conspiracy.""",Pelicula,https://filmzie.com/content/3-days-in-havana-2013
The Benefits of Gusbandry,English,Subtitles,2016,0 min,Comedy,"At her debaucherous 40th birthday party, serial relationship-killer Jackie meets handsome and charming thirty-something River - the perfect guy, who happens to be gay. Their ensuing adventures in self-medication, late-blooming, and questionable judgment lead them to discover a raucous new kind of significant otherness.",Serie,https://filmzie.com/content/the-benefits-of-gusbandry-2016
Loose Lips: Her Last Interview,English,None,2013,92 min,Documentary,"In an unforgettable interview, Linda Lovelace reveals the untold stories of Deep Throat and her life in the porn industry. Watch the uncensored documentary for free!",Pelicula,https://filmzie.com/content/loose-lips-her-last-interview-2013
Love Hotel,Japanese,English (embedded),2014,75 min,"Documentary, Romance","Angel Love Hotel: Osaka's secret haven. Follow the manager, staff, and diverse customers in this revealing film, exploring their struggles, private lives, and the hotel's survival.",Pelicula,https://filmzie.com/content/love-hotel-2014
Cerro Rico: The Silver Mountain,Spanish,English,2015,31 min,"Documentary, Short, European Production","Cerro Rico, the significant mountain in Bolivian highlands, has been a silver mining site for 400 years. Witness the perilous world's most dangerous job in this unique and impactful film.",Pelicula,https://filmzie.com/content/cerro-rico-the-silver-mountain-2015
Fractured,English,English,2016,78 min,"Mystery, Thriller","When Rebecca and Michael decide to take a weekend getaway and drive into the isolated countryside, they arrive at their cottage unscathed, but Rebecca can't help but feel like someone is watching.",Pelicula,https://filmzie.com/content/fractured-2016
Jimmy's Friends,English,None,2024,93 min,"Action, Crime, Drama","Released from prison, Jimmy Tucker returns to the streets of Oakland to get back his money.",Pelicula,https://filmzie.com/content/jimmys-friends-2024
Big in Japan,English,None,2014,100 min,"Comedy, Music","A struggling Seattle Rock band, Tennis Pro, take one last shot at making it big as they embark on a comical musical odyssey in Tokyo with hopes to prevent their day jobs from becoming their careers.",Pelicula,https://filmzie.com/content/big-in-japan-2014
Before Dawn,English,English,2013,82 min,Horror,Troubled couple's getaway to mend relationship turns disastrous as they face an undead onslaught. Can they survive the walking dead?,Pelicula,https://filmzie.com/content/before-dawn-2013
The Musical Adventures of Afro Banzai,English,"English, Spanish, French, Hindi, Japanese, Ukrainian, Chinese",2021,55 min,Musical,A group of culturally diverse teens who each receive an invitation to a mystical music school where they take on various challenges to help unlock their hidden musical potential.,Pelicula,https://filmzie.com/content/the-musical-adventures-of-afro-banzai-2021
Mani,Persian,English (embedded),2019,15 min,"Drama, Short","Mani, a 12-year-old boy, explores his sexuality amidst male-dominated spaces in Tehran. An unusual love triangle unfolds, seen entirely from Mani's perspective. Bitter years shape a uniquely captivating journey.",Pelicula,https://filmzie.com/content/mani
Sorgoi Prakov,English,English,2013,85 min,Horror,Explore the horrors of a journalist's descent into madness in Paris while filming a documentary about the 'European dream'. Terrifying French film.,Pelicula,https://filmzie.com/content/sorgoi-prakov-2013
Asian Treasure,English,English,2020,98 min,Adventure,"Aaron Wilder, a man living a sheltered life, is challenged by his deceased mother to do a scavenger hunt in Asia. Can he do it? What will he find? And, what the heck is shariko?",Pelicula,https://filmzie.com/content/asian-treasure-2020
Embodiment,English,English,2016,27 min,"Short, Drama, Fantasy","Insensitive legal guardian, disabled teen yearning for intimacy, and compassionate escort collide. Sterling, disabled and rejected by peers, desires Ashli, his guardian's escort.",Pelicula,https://filmzie.com/content/embodiment
2nd Generation,English,Subtitles,2018,0 min,Drama,"Identity crisis is nothing new to anyone except when you're dealing with multiple identities. A coming of age story, set in today's harsh melting pot society, trying to draw the lines between racism, morals, love, friendship, and secrets.",Serie,https://filmzie.com/content/2nd-generation-2018
Ghost,English,English,2020,85 min,"Crime, Drama","A grizzled ex-con races against time to reunite with his troubled son on his first day of freedom, evading a violent past.",Pelicula,https://filmzie.com/content/ghost-2020
Amityville Cop,English,English,2021,68 min,"Horror, Thriller","In a city haunted by a bloody past, police brutality rises. Two detectives fight a demonic force terrorizing the neighborhood. A gripping battle unfolds.",Pelicula,https://filmzie.com/content/amityville-cop-2021
Altitude Adjustment,English,English,2014,51 min,"Documentary, Sport",A look at non professional skiers and snowboarders and what drives them to the mountains each winter. Showcasing hidden ski locations that advanced and expert skiers may want to explore on future ski trips.,Pelicula,https://filmzie.com/content/altitude-adjustment-2014
The Visitant,English,English,2014,90 min,Thriller,"Samantha, a skeptic fortune teller, discovers the chilling reality of the spirit world when confronted by dark forces in her own home. Is it real or just her imagination? Find out in this suspenseful visitation tale.",Pelicula,https://filmzie.com/content/the-visitant-2014
The 13th Step,English,English,2016,52 min,"Documentary, Biography, Drama","The 13th Step is a critical expose of Alcoholics Anonymous. When an AA member killed a mother & child in Honolulu, a five-year investigation ensued. We discovered courts order violent/sexual offenders to AA meetings, unknown to the public.",Pelicula,https://filmzie.com/content/the-13th-step-2016
By the Sea,Spanish,English,2016,77 min,Drama,"A boy's strength is tested as he embarks on a search for his missing father, facing challenges to survive.",Pelicula,https://filmzie.com/content/by-the-sea-2016
Exotic Destinations 101,English,Subtitles,2019,0 min,Documentary,"""Exotic Destinations 101"" is a docuseries that explores hidden pieces of paradise around the globe. Each episode will feature stunning landscapes of a particular continent, perfect for travel enthusiastics to discover their next adventure.",Serie,https://filmzie.com/content/exotic-destinations-101-2019
My Prairie Home,English,None,2013,76 min,"Documentary, Music","Rae Spoon, a transgender indie-folk musician, tours the prairies, embracing contradictions and personal risks in their performances.",Pelicula,https://filmzie.com/content/my-prairie-home
The Shadow Dimension,English,Subtitles,2021,0 min,Documentary,"A researcher investigates shadow phenomena, searching for answers while unveiling an enigmatic world feared by many and misunderstood by most. Joined by experts in the field, he journeys to locations with known supernatural activity.",Serie,https://filmzie.com/content/the-shadow-dimension-2021
The Gift of Love: A Christmas Story,English,English,1983,95 min,Drama,"After experiencing several stressful situations within a short time - including the failure of the family business and the loss of her mother - Janet Broderick (Lee Remick) becomes ill. Falling into a deep sleep, she dreams of returning to her hometown, taking her children with her to meet her deceased loved ones. Perhaps, during a Christmas reunion with her beloved family, she will find the answer to coping with her troubles.",Pelicula,https://filmzie.com/content/the-gift-of-love-a-christmas-story-1983
Foods That Cure Disease,English,English,2018,256 min,Documentary,"Join Craig McMahon's health journey: 4+ hours of vital video. Defeating high cholesterol, he thrived on a whole plant-based diet inspired by top doctors. Cornell-certified in plant nutrition, he cooks nourishing meals.",Pelicula,https://filmzie.com/content/foods-that-cure-disease-2018
