titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Zombie Farm,Spanish,"English, Spanish, Portuguese",2009,90,"Fantasy, Horror, Thriller",A voodoo priestess raises a zombie horde to exact her personal revenge.,Pelicula,https://filmzie.com/content/zombie-farm-2009
Silent Night,English,No contiene subtitulos,2012,94,"Biography, Drama, Music","The powerful true story behind the most popular Christmas carol of all time. In 1818, when Joseph Mohr is assigned to be the new assistant priest in Oberndorf, a small Austrian town near Salzburg, the young man is full of ideas and ideals. His passion to bring the church closer to the common people sets him on a collision course with his superior, Father Noestler. When Mohr organizes a church choir that includes outcasts from the local tavern and performs in German instead of Latin, Noestler threatens him with disciplinary action. The night before Christmas, Mohr has to decide if he will accept defeat and leave Oberndorf or embrace the true significance of the Holy Night.",Pelicula,https://filmzie.com/content/silent-night-2012
Lambing Season,English,No contiene subtitulos,2014,20,"Drama, Short, European Production","An American woman named Bridget travels to the Irish countryside to track down her long-lost father while posing as a stranger. When things don't go according to her convoluted plan, Bridget and her father are surprised to learn how much they have in common. On a sheep farm full of secrets, nature has its way of delivering the truth.",Pelicula,https://filmzie.com/content/lambing-season-2014
Fear of Hue: The Barghest,English,English,2016,22,"Short, Horror, Mystery","A wealthy American woman has bought a house in the UK on auction which has stood empty for over 100 years. The locals believe that there is a demon hound living there, a Barghest.",Pelicula,https://filmzie.com/content/fear-of-hue-the-barghest-2016
Natural Rejection,English,English,2013,79,"Drama, Romance, Thriller","A deadly 'Cure' concocted by a mysterious man threatens to eliminate all women on Earth, unleashing chaos and a desperate fight for survival.",Pelicula,https://filmzie.com/content/natural-rejection-2013
No Way to Spin It,Unknown,No contiene subtitulos,2023,86,Drama,"By all outward appearances, Claire has a life everyone dreams of- the perfect New York City apartment, a glamorous career, and a loving fiance. But beneath her elegant exterior hides a mysterious past and emotional baggage no one dares discover. Her live-in, drug addicted sister, Jaime, has long overstayed her welcome and is a constant source of controversy between Claire and her husband-to-be David. Though not completely self centered, Jaime can't help but turn people against her.",Pelicula,https://filmzie.com/content/no-way-to-spin-it-2023
Comrade Crunch,English,English,2016,15,"Action, Comedy, Drama, Short","In an effort to recapture joyful moments, a retired Russian assassin indulges in his cherished childhood cereal, seeking solace in nostalgia.",Pelicula,https://filmzie.com/content/comrade-crunch
Ascension to Ararat,Italian,English,2022,37,"Short, Action",Ascension to Ararat retraces the 500-kilometer long ride of Novara ultra runner and cyclist Nico Valsesia from the Black Sea to Dogubeyazit.,Pelicula,https://filmzie.com/content/ascension-to-ararat-2022
Birthmarked,English,No contiene subtitulos,2018,87,Comedy,Two scientists raise 3 children contrarily to their genetic tendencies to prove the ultimate power of nurture over nature.,Pelicula,https://filmzie.com/content/birthmarked-2018
Flash,No contiene idioma,No contiene subtitulos,2015,7,"Drama, Short, Fantasy, European Production","In a photo booth, a man is astonished by the unexpected when he examines the printed strip. Prepare for a surprising twist in this captivating tale.",Pelicula,https://filmzie.com/content/flash
Gospel According to Al Green,English,English,1984,95,"Documentary, Music","The story of R&B singer Al Green, who gave up a successful singing career to become a gospel minister.",Pelicula,https://filmzie.com/content/gospel-according-to-al-green-1984
Amateur Night At City Hall: The Story Of Frank L. Rizzo,English,No contiene subtitulos,1978,74,Documentary,"Experience the astounding ascent of Frank L. Rizzo, from street cop to polarizing mayor, through the lens of law and order.",Pelicula,https://filmzie.com/content/amateur-night-at-city-hall-the-story-of-frank-l-rizzo-1978
The Bastard Sword,English,No contiene subtitulos,2018,181,"Adventure, Fantasy, European Production","In the mystical Soza forest, a warrior, thief, and hermit embark on a quest for a mind-controlling sword of legend. Adventure awaits in this ancient realm.",Pelicula,https://filmzie.com/content/the-bastard-sword-2018
Hunting Humans,English,English,2002,88,"Drama, Horror, Mystery","Introducing Aric Blue: young, handsome, successful... and a serial killer. But when he becomes the target of a deadly stalker, the ultimate battle between two killers begins. In this war, survival means staying out of their way.",Pelicula,https://filmzie.com/content/hunting-humans-2002
A Box Came to Brooklyn,English,No contiene subtitulos,2015,26,"Family, Action, Horror","In an up-and-coming Brooklyn neighborhood, a mysterious box stirs suspicion among eccentric residents. Johnny fights to dispel the terrorist accusations and uncover the truth.",Pelicula,https://filmzie.com/content/a-box-came-to-brooklyn
Blood Tea and Red String,English,English,2006,70,"Animation, Fantasy",A whimsical stop-motion fairy tale for adults. Witness the struggle over a beloved doll as creatures and mice embark on a journey through a mystical land. Beware the blood tea and the yellow fruit!,Pelicula,https://filmzie.com/content/blood-tea-and-red-string
The Kinsey Sicks: I Wanna Be a Republican,English,English,2007,84,Comedy,From the gals that broke the Kinsey Scale comes a live show that you wont want to watch with your parents. This political acapella group dons their biggest wigs and American flags in this musical live show where they decide to leave their morals behind in exchange for all of the greed and corruption of the Good Old Party.,Pelicula,https://filmzie.com/content/the-kinsey-sicks-i-wanna-be-a-republican-2007
Red Forrest,English,English,2018,74,Horror,"An eerie urban legend comes alive as friends explore Red Clay's haunted lands. Father Genova's dark secrets await, turning their night into a chilling ordeal. Can they escape the forest's horrors by dawn?",Pelicula,https://filmzie.com/content/red-forrest-2018
My Summer with Amanda,Spanish,English,2008,93,Comedy,"Join Gaby on a hilarious summer adventure with his friends, outrageous situations, and unforgettable characters. Watch free online for non-stop laughter.",Pelicula,https://filmzie.com/content/my-summer-with-amanda-2008
The Disappearance,Spanish,English,2020,56,"Documentary, Short","Witness Amadeo, the last Taushiro speaker in Peru's Amazon, as he communicates with nature, exposing the destruction of the forest and fading indigenous cultures.",Pelicula,https://filmzie.com/content/the-disappearance-2020
The Snows of Kilimanjaro,English,English,1952,113,"Adventure, Drama, Romance",Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilamanjaro.,Pelicula,https://filmzie.com/content/the-snows-of-kilimanjaro-1952
A Christmas Love,English,English,2020,65,"Drama, Romance, Family","Struck by bad luck during the holidays, a struggling couple receives the joyful gift of Christmas love when they discover an old letter that sparks the magic of the season.",Pelicula,https://filmzie.com/content/a-christmas-love-2020
A Kind of Wonderful Thing,English,English,2014,87,"Comedy, Drama, Romance","Anna fights for peace in her final months battling cancer, disrupted by her sister's wedding plans and her musician brother's unexpected move-in.",Pelicula,https://filmzie.com/content/a-kind-of-wonderful-thing-2014
Lovers on a Tightrope,English,No contiene subtitulos,1960,81,"Drama, European Production","Cora, married to wealthy businessman Daniel, has an affair with mechanic Henri. As suspicions arise, a detective is hired to uncover the truth, but Cora's secrets remain elusive.",Pelicula,https://filmzie.com/content/lovers-on-a-tightrope-1960-0
Red Earth,English,No contiene subtitulos,2023,63,Sci-Fi,"Red Earth imagines a world in the late Anthropocene, where large parts of Earth have become inhospitable to life. The story follows three generations of Martians, from the first colonists to the first expedition to return to an Earth decimated by interplanetary war.",Pelicula,https://filmzie.com/content/red-earth-2023
In a Sentimental Mood,English,No contiene subtitulos,2018,116,Drama,"Anna, a twenty-something painter freshly dropped out of college, paves her way making chalk drawings at a cafe and trying to get her art displayed around town. Her work is unique, but her time is split between partying with her dysfunctional friend Carrie and pursuing a higher art, love. Can she create anything out of the chaos? Has life really prepared her for any of this?",Pelicula,https://filmzie.com/content/in-a-sentimental-mood-2018
Zombie Apocalypse: Redemption,English,English,2011,101,"Action, Horror","In a world overrun by zombies, distinguishing between humans and monsters becomes impossible as the undead outnumber the living 10,000 to one.",Pelicula,https://filmzie.com/content/zombie-apocalypse-redemption-2011
Little Lawyer,English,English,2022,11,"Short, Animation, Comedy, Family",Witness the courtroom drama as a determined six-year-old girl puts her little brother on trial over a malfunctioning toy. A captivating story of justice and sibling dynamics unfolds.,Pelicula,https://filmzie.com/content/little-lawyer-2022
Blind Trust,Slovak,English (embedded),2013,31,"Documentary, European Production",Witness the inspiring journey of a blind boy determined to conquer obstacles and embrace life to the fullest. A tale of resilience and self-discovery.,Pelicula,https://filmzie.com/content/blind-trust-2013
He Found His Way Out,Modern Greek (1453-),English,2022,6,"Animation, Short","An old man loses contact with reality, as he revels in his chilhood memories. He now sees the human soul clearly but can't remember how to get back home.",Pelicula,https://filmzie.com/content/he-found-his-way-out-2022
Lovesick Fool - Love in the Age of Like,English,English,2009,42,"Animation, Comedy","Experience the creator's heartfelt journey through love's ups and downs. This film blends humor, poetry, and introspective pop music, leaving you to decide: funny, profound, or simply sad? Discover the search for meaning in love.",Pelicula,https://filmzie.com/content/lovesick-fool---love-in-the-age-of-like-2009
Funny Man,English,No contiene subtitulos,2016,90,"Comedy, Crime, Drama","A has-been comedian embarks on a quest to recover his stolen bike, the very same bike that propelled him to child stardom.",Pelicula,https://filmzie.com/content/funny-man
"Tupac Amaru, Something is Changing",Spanish,"German, English, Spanish, French, Italian, Portuguese",2012,65,Documentary,"From the deep crisis that beat Argentina in 1990, Tupac Amaru emerged as one of Argentina's biggest social organizations. Milagro Sala, leader of the organization, has been arbitrarily detained since January 2016. This is their story.",Pelicula,https://filmzie.com/content/tupac-amaru-something-is-changing-2012
The Man in the Trunk,English,No contiene subtitulos,2019,84,"Crime, Drama, Horror","A late night knock at the door from an absent friend brings the question - ""I need you to come with me, but I can't tell you where we're going or what we're going to do."" How far would you go to help those you care about?",Pelicula,https://filmzie.com/content/the-man-in-the-trunk-2019
The Unearthing,English,English,2015,53,"Action, Adventure, Mystery, History, Fantasy, Family","After moving to a new town for the summer, an adventurous teenage girl unearths a supernatural mystery with the help of two local outcasts while something dark festers between the lines.",Pelicula,https://filmzie.com/content/the-unearthing-2015
Dali's Greatest Secret,English,No contiene subtitulos,2013,68,"Documentary, Biography, History, European Production","Uncover Salvador Dali's hidden masterpiece, ""Vision of Hell,"" and its profound impact on his life and art. A journey into mortality, religion, and the pursuit of immortality.",Pelicula,https://filmzie.com/content/dalis-greatest-secret
Elite,English,No contiene subtitulos,2017,89,Action,"Naval Investigator Abbey Vaughn seeks justice for fallen soldiers, teaming up with former Elite leader Lt. Sam Harrigan to take down savage cartel leader Reynaldo Benitez.",Pelicula,https://filmzie.com/content/elite-2017
Get My Gun,English,English,2017,89,"Horror, Thriller","Amanda's life takes a dark turn as she faces pregnancy, unemployment, and a relentless stalker. Watch her fight for survival and motherhood in this gripping thriller.",Pelicula,https://filmzie.com/content/get-my-gun-2017
Jacob: The Story Of A Suicide Survivor,English,English,2018,9,"Short, Comedy, Drama",A young man's life takes a cathartic turn after his brother's suicide. This true story highlights the importance of humor in dark moments.,Pelicula,https://filmzie.com/content/jacob-the-story-of-a-suicide-survivor-2018
Every Child,English,No contiene subtitulos,1979,6,"Animation, Comedy, Fantasy, Short","An abandoned baby finds rejection on doorsteps of a wealthy community, until one social group displays compassion. A tale of resilience and humanity unfolds.",Pelicula,https://filmzie.com/content/every-child
Jesse,English,No contiene subtitulos,2019,15,"Drama, Short","Jesse, a mixed-race transgender teen, arrives from Switzerland for a cross-country road trip with her estranged father Marcus. His struggle to understand his daughter and Jesse’s deep desire to be understood, accepted and loved by him, leads the two to strike a weighty deal, one with serious repercussions for their relationship and their trip.",Pelicula,https://filmzie.com/content/jesse-2019
"Papita, maní, tostón",Spanish,"English, Spanish",2013,113,"Comedy, Drama, Romance",HD. Baseball fans Andres and Julissa fall hard for one another and have to keep Andres' love of a rival team secret from Julissa's father.,Pelicula,https://filmzie.com/content/papita-mani-toston-2013
Pink Hill,English,English,2019,74,"Drama, Fantasy, Horror","Four friends spend a final summer together tangled in a web of sexual obsession, alienation and magic.",Pelicula,https://filmzie.com/content/pink-hill-2019
Bros,English,English,2017,82,Comedy,"Tanner and Matt navigate life choices and romance in their hometown. A nostalgic, dialogue-driven comedy reminiscent of Clerks and American Graffiti.",Pelicula,https://filmzie.com/content/bros
Come Around,English,English,2019,7,"Short, Drama","Bela, a first-generation Filipina immigrant, must face her parents' prejudice regarding her sexual orientation.",Pelicula,https://filmzie.com/content/come-around-2019
A Cry in the Night,English,English,2021,88,"Horror, Western","Awakening to a chilling cry, campers find themselves stranded, facing the wrath of La Llorona in this gripping tale of terror.",Pelicula,https://filmzie.com/content/a-cry-in-the-night-2021
Grafters,English,English,2014,22,"Short, Action, Drama","Kurt, a skilled car thief seeking thrill and connection, faces a rival mechanic, a blossoming romance, and a chance at redemption. A high-stakes intersection where lives collide.",Pelicula,https://filmzie.com/content/grafters
Coda 77,Spanish,"English, Portuguese",2021,100,"Comedy, Drama, Mystery","Ulysses is a pianist who has to compose the soundtrack of a movie, while he is sure that some one enters his house when he is not. Meanwhile he tries to forget his ex-girlfriend, staying with several girls who humiliate him constantly.",Pelicula,https://filmzie.com/content/coda-77-2021
Play Hooky,English,No contiene subtitulos,2012,69,"Crime, Drama, Thriller","In ""Play Hooky,"" five friends explore an abandoned mental hospital, only to be haunted and hunted by an unexplainable force. A real-time Found Film - Suspense/Thriller.",Pelicula,https://filmzie.com/content/play-hooky
Confessions of a Time Traveler: The Man from 3036,English,English,2020,37,"Short, Drama",The supposed true story of a time traveler from the year 3036 who explains the future in great detail.,Pelicula,https://filmzie.com/content/confessions-of-a-time-traveler-the-man-from-3036-2020
This Is My Winter,English,No contiene subtitulos,2011,28,Sport,"Xavier and friends create Timeline Missions, a web-series documenting their journey in making the best video part for TB20 by Standard Films.",Pelicula,https://filmzie.com/content/this-is-my-winter-2011
Wekufe,Spanish,"English, Spanish",2016,68,"Horror, Mystery, Thriller","A student travels with her boyfriend to Chiloé, a remote island in southern Chile, to investigate the link that exists between the high number of sex-related crimes and the myths and legends surrounding this isolated and mysterious place.",Pelicula,https://filmzie.com/content/wekufe-2021
Search for the World’s Best Indian Taco,Multiple languages,No contiene subtitulos,2010,14,"Comedy, Short, Family",Embark on a whimsical journey as a Choctaw grandfather shares tall tales of his lifelong search for true love with his grandson.,Pelicula,https://filmzie.com/content/search-for-the-worlds-best-indian-taco-2010
The Misty Green Sky,English,English,2016,81,"Animation, Action, Adventure","A young girl in another solar system asks an innocent question that sets off a chain reaction of adventure, destruction and tragedy.",Pelicula,https://filmzie.com/content/the-misty-green-sky-2016
"The Son, the Father",English,English,2017,13,"Short, Drama, Horror","A fateful birthday event leaves a lasting impact on a young boy and his family, shaping their lives far into the future.",Pelicula,https://filmzie.com/content/the-son-the-father-2017
More,Arabic,English,2017,107,"Crime, Drama","Gaza, a 14-year-old boy, aids his father in smuggling refugees to Europe. Witness their harrowing journey as they provide shelter and hope in a war-torn world.",Pelicula,https://filmzie.com/content/more-2017
From Inside,English,No contiene subtitulos,2008,70,"Animation, Horror","In a post-apocalyptic world, pregnant Cee fights for survival on a damaged train. Watch ""From Inside"" based on John Bergin's graphic novel.",Pelicula,https://filmzie.com/content/from-inside
"Gallino, the Chicken System",Spanish,"English, Portuguese",2012,81,"Comedy, Fantasy, Romance","An strange meeting at night in a poultry store lost in Antarctica. A story full of lechery, sarcasm, extravagance, impossible geometries, discovery of existence's hidden sides and a pinch of Magick.",Pelicula,https://filmzie.com/content/gallino-the-chicken-system-2012
Malfunkshun: The Andrew Wood Story,English,"English, Spanish",2005,99,"Documentary, Music","4K Remaster of original documentary film based on the life of Andrew Wood, singer/songwriter/frontman for Seattle's seminal pre-grunge bands Malfunkshun and Mother Love Bone. Featuring members of Mother Love Bone, Malfunkshun, Pearl Jam & Soundgarden.",Pelicula,https://filmzie.com/content/malfunkshun-the-andrew-wood-story-2005
Ruby's Storytime: The True Meaning of Christmas,English,English,2021,20,Animation,Join Ruby on her way to church as she encounters mesmerizing Christmas decorations. Travel back in time to witness the vibrant Nativity story and embrace the gift of peace.,Pelicula,https://filmzie.com/content/rubys-storytime-the-true-meaning-of-christmas-2021
Dominant Chord,English,"English, Spanish, French",2019,8,"Drama, Short",Adam Charles is a closeted country music star who for years has kept his love-life under wraps while he built his country music career.  Now on the verge of being publicly outed he is forced to make the impossible and unfair choice between his career and the love of his life.,Pelicula,https://filmzie.com/content/dominant-chord-2019
Dante's Hell Animated,English,English,2013,38,"Animation, Fantasy, Short","Dante guided by hero Virgil explores every circle of Hell and Purgatory, journeying to the Earth's center in this epic tale.",Pelicula,https://filmzie.com/content/dantes-hell-animated-2013
Ava's Magical Adventure,English,English,1994,94,"Comedy, Drama, Family","Join 10-year-old Ava and her 2-ton circus elephant friend, Nellie, as they embark on a daring runaway adventure. Pursued by the police and the circus owner, their journey is filled with excitement and suspense.",Pelicula,https://filmzie.com/content/avas-magical-adventure-1994
Rival,English,No contiene subtitulos,2023,89,Horror,"After the murder of a fellow classmate, 17-year-old Erin Sawyer must face the revelation that someone very close to her is responsible for the murder spree happening in her hometown of Redwood Springs.",Pelicula,https://filmzie.com/content/rival-2023
Greener Mountains,English,English,2005,88,"Drama, Romance","Greener Mountains is a family friendly, coming-of-age story about finding your place in the world.",Pelicula,https://filmzie.com/content/greener-mountains-2005
7 Degrees,Spanish,English,2020,22,"Short, Drama, Sci-Fi","4 strangers, coincide in a paddle court on the night of the end of the world.",Pelicula,https://filmzie.com/content/7-degrees-2020
Departures,Italian,English,2019,16,"Short, Drama, Thriller","Ludovico has to accept the hard choice of his sick wife to want to die. He will help her in her intent, but it will take some time to let him find the courage to reveal to his daughter, through memories, his last, desperate act of love.",Pelicula,https://filmzie.com/content/departures-2019
Sara,Spanish,English,2017,25,Short,"In memory of Ramiro Tejada, experience a Carolina Ceballos film that captivates.",Pelicula,https://filmzie.com/content/sara-2017
The Floating Koto,English,English,2022,12,"Animation, Short","The fate of Japan rests in the hands of a mysterious musician and a tyrannical shogun. Blinded at birth, a musician's unique musical gift grants her an audience with a military tyrant.",Pelicula,https://filmzie.com/content/the-floating-koto-2022
Third Falcon,English,English,2013,89,Thriller,"Tilda Robbins, posing as an art historian, is sent by JSC to Tallin, to find the missing British agent, Rodger Harris.",Pelicula,https://filmzie.com/content/third-falcon-2013
Los Networkers Multinivel,Spanish,English,2020,92,"Drama, Thriller","Despite the information era, misconceptions persist in MLM. Explore the myths surrounding this industry and gain a fresh perspective.",Pelicula,https://filmzie.com/content/los-networkers-multinivel-2020
Caesar And Otto's Paranormal Halloween,English,No contiene subtitulos,2015,89,Horror,"Get ready for hilariously terrifying mayhem as half brothers Caesar and Otto housesit a haunted home. This horror-comedy homage stars genre legends and pays tribute to The Exorcist, Amityville Horror, Sinister, and more.",Pelicula,https://filmzie.com/content/caesar-and-ottos-paranormal-halloween-2015
Cherry Cola,English,No contiene subtitulos,2017,15,"Drama, Short","Two drag queens move through the city on a night of debauchery, insight, and revenge.",Pelicula,https://filmzie.com/content/cherry-cola-2017
Hotel Brothers,English,English,2020,72,Documentary,"After high school, two Canadian brothers embark on a journey to Nicaragua, building the world's first action sports resort. Amid civil war, they relocate to Costa Rica, constructing a second resort.",Pelicula,https://filmzie.com/content/hotel-brothers-2020
I'm A Stripper,English,No contiene subtitulos,2013,42,Documentary,"I'm a Stripper follows the lives of male strippers in the sexiest cities in N. America - Montréal, Niagara Falls and Las Vegas. ",Pelicula,https://filmzie.com/content/im-a-stripper-2013
Possessed,Spanish,"English, Spanish",2022,73,Horror,"Cristian is attacked by an evil entity, her mother did not know what to do, his godfather father Ernesto fought to save him and thus regain the faith of the people.",Pelicula,https://filmzie.com/content/possessed-2022
We Live,English,English,2023,29,"Short, Drama",Differing opinions about the events of a George Floyd protest gone bad cause tensions to rise in a Black household.,Pelicula,https://filmzie.com/content/we-live-2023
The Tailor,Italian,"English, Spanish",2015,14,"Drama, History, European Production","In occupied San Miniato, Italy, a tailor named Paolino faces a pivotal decision after the capture and killing of a Partisan courier by an SS officer.",Pelicula,https://filmzie.com/content/the-tailor
Year Of The Dog,English,English,2019,23,"Short, Thriller","In the vibrant setting of LA's Chinatown, a man's obsession turns perilous as he becomes dangerously fixated on a captivating and enigmatic woman.",Pelicula,https://filmzie.com/content/year-of-the-dog
Out of Time,English,No contiene subtitulos,2021,92,"Action, Drama, Sci-Fi","3 aliens, able to occupy different human bodies, are on a mission to kill all humans and wait for their fleet's arrival to Earth. A special agent and an LAPD detective are on their tail.",Pelicula,https://filmzie.com/content/out-of-time-2021
The Settler,English,No contiene subtitulos,2021,99,Drama,"Ryan and Emilia both hatch the eggs of their misfortunes. Living a life clouded by deception, a mendacious couple is forced to confront the emptiness of their conjugal vows. Their Journey to find a solution creates unforeseen complications.",Pelicula,https://filmzie.com/content/the-settler-2021
A Very Important Film,English,English,2019,5,"Comedy, Short","The compelling, shocking, and incredibly important story of a woman named Clarissa Jacobson who made a movie named Lunch Ladies then realized it wasn't important and has now made something Very important.",Pelicula,https://filmzie.com/content/a-very-important-film-2019
The Resurrection of Jake the Snake,English,No contiene subtitulos,2015,96,"Documentary, Biography, Sport",A wrestling star fights his inner demons to reclaim his life and reunite with his estranged family. A gripping journey of redemption unfolds.,Pelicula,https://filmzie.com/content/the-resurrection-of-jake-the-snake-2015
The Coca-Cola Case,English,No contiene subtitulos,2009,52,Documentary,"Coca-Cola Uncovered: Lawyers fight for accountability, invoking the Alien Tort Claims Act to challenge the practices of US multinationals. A gripping tale of justice and activism.",Pelicula,https://filmzie.com/content/the-coca-cola-case0
American Diamond,English,No contiene subtitulos,2012,40,"Documentary, Short",Experience the captivating legend of Dame Elizabeth Rosemond Taylor in this meticulously crafted documentary drama.,Pelicula,https://filmzie.com/content/american-diamond-2012
The Maladjusted,English,English,2013,89,"Comedy, Romance",Drunken parties and chasing after good times turn an innocent beach trip into a wild life-changing adventure while three friends struggle to maintain their hedonistic lifestyle as they approach 30.,Pelicula,https://filmzie.com/content/the-maladjusted-2013
The Devil's Woods,English,English,2015,73,"Drama, Horror, Mystery","Struggling friends reunite for a camping trip to a music festival. Unexpectedly, their detour to a rural Irish town uncovers a dark history of mysterious occurrences.",Pelicula,https://filmzie.com/content/the-devils-woods-2015
Is Mindfulness Right for You?,English,English,2021,81,Documentary,This insightful and informative documentary explores the popular world of Mindfulness from the perspective of four people who study and teach it.,Pelicula,https://filmzie.com/content/is-mindfulness-right-for-you-2021
The Jakes Are Missing,English,English,2015,94,Romance,"Janice and Donald Jakes fall out of love and into Police Protection. In a journey filled with unexpected events, they rediscover the true meaning of love.",Pelicula,https://filmzie.com/content/the-jakes-are-missing
The Basement,English,"English, Spanish",2017,80,Horror,International students' exploration turns sinister when a malicious entity is summoned in an abandoned basement. Bloody mayhem ensues.,Pelicula,https://filmzie.com/content/the-basement-2017
Duality Derby,English,No contiene subtitulos,2020,20,"Comedy, Short",Local racing legend Victor Elaine squares-off against his greatest rival. Their opposing philosophies and impending destruction leave them wondering: Who is really behind the wheel?,Pelicula,https://filmzie.com/content/duality-derby-2020
"Liars, Fires And Bears",English,No contiene subtitulos,2012,99,"Comedy, Drama","In Liars, Fires and Bears, 9-year-old Eve and immature Dave embark on a cross-country road trip. As Eve seeks her brother and Dave evades trouble, their journey becomes a lesson in unlikely connections.",Pelicula,https://filmzie.com/content/liars-fires-and-bears-2012
Jump!,English,English,2009,3,"Drama, Comedy, Short, European Production","On the sagging school roof, an overweight headmaster bravely tries to persuade his troubled student away from suicide.",Pelicula,https://filmzie.com/content/jump
The Wonderpill,English,English,2015,81,"Comedy, Drama, Romance","Athena's migraines drain her energy, affecting her sex life. Jacob's trick with a placebo pill backfires when her libido skyrockets, overwhelming him.",Pelicula,https://filmzie.com/content/the-wonderpill
Effigy: Poison and the City,English,"German, English, Spanish, French, Italian, Portuguese",2019,84,"Crime, History",1828 in the German port city of Bremen: A female law clerk tries to prove her worth during the investigation of a series of poisonings.,Pelicula,https://filmzie.com/content/effigy-poison-and-the-city-2019
32 Weeks,English,No contiene subtitulos,2020,82,Drama,"After a car accident leaves a young woman with amnesia, she is torn between the new man in her life that she can't remember and her ex who she can't forget.",Pelicula,https://filmzie.com/content/32-weeks-2020-0
My Autopsy,English,English,2020,111,Drama,"""My Autopsy"" traces the empowering journey of a woman breaking free from the invisible chains of an abusive past relationship, showcasing her evolving strength and resilience.",Pelicula,https://filmzie.com/content/my-autopsy-2020
Stand in the Gap,English,English,2023,112,Drama,August Star is an actor who reluctantly returns to his hometown of Owl's Point to film a Christmas special. While there he uncovers pieces to a long unsolved family puzzle.,Pelicula,https://filmzie.com/content/stand-in-the-gap-2023
One Winter Night,English,No contiene subtitulos,2019,129,"Drama, Mystery","A mother and her daughters, Orthodox Jews, encounter malevolence in a rural community. Dark forces loom.",Pelicula,https://filmzie.com/content/one-winter-night-2019
3:19,Spanish,English,2008,106,"Drama, European Production","Imagine a world ruled by chance and inescapable fate. Discover the connection between Galois, Bauhaus, and The Unbearable Lightness of Being. Can our efforts shield us from inevitable destiny?",Pelicula,https://filmzie.com/content/319-2008
Modern Warfare,English,No contiene subtitulos,2017,0,"Action, European Production",Artistic behind the scenes of a brand photographer Klemen Razinger,Pelicula,https://filmzie.com/content/modern-warfare-2017
Busting Out,English,No contiene subtitulos,2004,57,Documentary,"BUSTING OUT challenges perceptions of breasts. Filmmaker Francine Strickwerda, affected by breast cancer and early development, delves into the history and politics of this American icon. Join her journey.",Pelicula,https://filmzie.com/content/busting-out-2004
