titulo,idioma,subtitulos,ano,categorias,sinopsis_x,tipo,link,temporadas,capitulos,sinopsis_capitulo,duracion_minutos
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,11. Leigh Steinberg,"Taking a walk down memory lane with Leigh Steinberg, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,12. Lil Wayne,"Taking a walk down memory lane with Lil Wayne, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,13. Martin Kove,"Taking a walk down memory lane with Martin Kove, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,14. Greg Phillinganes and Rory Kaplan,"Taking a walk down memory lane with Greg Phillinganes and Rory Kaplan, tracking their success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,15. Mike Tyson,"Taking a walk down memory lane with Mike Tyson, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,16. Pitbull,"Taking a walk down memory lane with Pitbull, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,17. Rashad Evans,"Taking a walk down memory lane with Rashad Evans, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,18. Rick Ross,"Taking a walk down memory lane with Rick Ross, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,19. Rolling Stones,"Taking a walk down memory lane with Rolling Stones, tracking their success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,20. Scott Storch,"Taking a walk down memory lane with Scott Storch, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,21. Ser'Darius Blain,"Taking a walk down memory lane with Ser'Darius Blain, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,23. Sugar Ray Leonard,"Taking a walk down memory lane with Sugar Ray Leonard, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,24. T-Pain,"Taking a walk down memory lane with T-Pain, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,25. Thomas Hearns,"Taking a walk down memory lane with Thomas Hearns, tracking his success to where it all began.",21
Before the Fame,English,English,2018,"Biography, Documentary","""Before the Fame"" takes us down memory lane to the beginning of the careers of today's brightest stars, tracking their success to where it all began. Mike Sherman shows us never-before-seen footage of each celebrity's rise to the top.",Serie,https://filmzie.com/content/before-the-fame-2018,Season 1,26. Vitor Belfort,"Taking a walk down memory lane with Vitor Belfort, tracking his success to where it all began.",21
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,1. Water Cooler,QuaranTeam! is an office comedy that follows the advertising agency of Bork & Hitchens as they work from home through Zoom conferencing.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,2. Lag,Watch episode 2 as the crew struggles with the technology of video conferencing.,1
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,3. Gas Leak,Is someone farting on the videocast?,2
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,4. The Man from Chassamusetts,Watch as the team from Bjork & Hitchens struggles to finish their meeting after being zoom-bombed by Charlie Wolfjaw.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,5. Afternoon Delight,Jenny and Jonah get busy with each other while on a video conference with Anne.,1
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,6. High Maintenance Client,Watch as Jenny and Brad take on an over eccentric client.,2
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,7. Sensitivity Training Part 1 (feat. James Liotta),The team at Bork & Hitchens needs their yearly certifications for sensitivity training... but their normal guy is not available.,4
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,8. Fake Freeze,Adam devises a clever plan to get out of the meeting with Dale.,2
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,9. Livestock Footage,The team tries helping a charity by buying airtime featuring their livestock and things don't exactly go as planned.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,10. Sensitivity Training Part 2 (feat. James Liotta),The team is given the assignment to create an offensive drawing to share with the group.,2
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,11. Animal Farm,The team attends the meeting as their very own unique animal.,1
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,12. Logout Face,Jimmy and Jenny review the teams' logout faces which leads to an old fashioned Mexican standoff.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,13. Office Birthday,The team celebrates Anne's birthday from home.,4
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,14. Working Lunch,Bork makes the team work through lunch. The effects are horrific.,1
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,15. Poop Head,The team at Bork & Hitchens finds out how much it stinks to work at home with kids...,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,16. Fran Can Cook,Fran gives a peek inside her kitchen as she attempts to teach the team how to make her famous casserole.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,17. European,Turf tries to pull an old trick on his boss and the team calls him out on it.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,18. Captain James T. Handler of the USS New Chair,The team shares how they've all spent their work from home stipend. Jimmy gets a new chair and transforms into Captain James T. Handler of the USS New Chair.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,19. Sensitivity Training Part 3 (feat. James Liotta),"The team finally graduates. However, no one feels comfortable about it...",5
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,20. Roberto,The team finally gets Roberto to come back for one last session. The women are smitten... Including some of the men ;),4
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,21. Happy Hour,The team cuts loose with a little help from the juice during this office happy hour.,3
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,22. Crappy Hour (feat. Debbie Rigaud),The team is in shambles from last night's happy hour. Too bad they forgot they had an important meeting with a new client this morning.,5
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,23. Rival CEO,"There's a mole in the office. We mean at home... Er, you know what we mean.",4
QuaranTeam!,English,English,2020,Comedy,"At Bork and Hitchens Advertising Agency, a motley crew navigates the glitches and sparks of working from home during the worldwide mandatory quarantine. Sometimes productive, sometimes pantsless, always funny.",Serie,https://filmzie.com/content/quaranteam-2020,Season 1,24. The F-Word,The team receives a much-needed pep talk from a familiar face while a surprise guest discovers a mole within Bork & Hitchens.,9
Rescue Warriors,English,English,2005,Documentary,"Discover the rigorous journey of USAF Pararescue Jumpers, enduring one of the world's toughest special operations training courses. ""That Others May Live.""",Serie,https://filmzie.com/content/rescue-warriors-2005,Season 1,"1. Crawl, Walk, Run","Before Pararescue trainees enter the intense two-year training of “The Pipeline,” they must endure Indoctrination Training at Lackland Air Force Base where the only easy day was yesterday. With an attrition rate of nearly 80 percent, how many will quit?",47
Rescue Warriors,English,English,2005,Documentary,"Discover the rigorous journey of USAF Pararescue Jumpers, enduring one of the world's toughest special operations training courses. ""That Others May Live.""",Serie,https://filmzie.com/content/rescue-warriors-2005,Season 1,2. Pay Now or Pay Later,"Before Pararescue trainees enter the intense two-year training of “The Pipeline,” they must endure Indoctrination Training. It’s Week 3 and Hell Night looms. Be there for a 21-hour-long simulated combat mission that will push some to their breaking point.",47
Rescue Warriors,English,English,2005,Documentary,"Discover the rigorous journey of USAF Pararescue Jumpers, enduring one of the world's toughest special operations training courses. ""That Others May Live.""",Serie,https://filmzie.com/content/rescue-warriors-2005,Season 1,3. Never Quit,"Before Pararescue trainees enter the intense two-year training of “The Pipeline,” they must endure Indoctrination Training. One trainee is missing and another becomes delusional. How many trainees will be cut or quit before the end of training?",48
Rescue Warriors,English,English,2005,Documentary,"Discover the rigorous journey of USAF Pararescue Jumpers, enduring one of the world's toughest special operations training courses. ""That Others May Live.""",Serie,https://filmzie.com/content/rescue-warriors-2005,Season 1,4. That Others May Live,Dive into the heart of intense two-year Pararescue training called “The Pipeline” at Kirtland Air Force Base. The trainees begin a 6-month paramedic program to become combat medics where they will work alongside professionals in the civilian world.,48
Rescue Warriors,English,English,2005,Documentary,"Discover the rigorous journey of USAF Pararescue Jumpers, enduring one of the world's toughest special operations training courses. ""That Others May Live.""",Serie,https://filmzie.com/content/rescue-warriors-2005,Season 1,5. Leave No Man Behind,"Discover the rigorous journey of USAF Pararescue Jumpers, enduring one of the world's toughest special operations training courses. ""That Others May Live.""",47
Rescue Warriors,English,English,2005,Documentary,"Discover the rigorous journey of USAF Pararescue Jumpers, enduring one of the world's toughest special operations training courses. ""That Others May Live.""",Serie,https://filmzie.com/content/rescue-warriors-2005,Season 1,6. The Final Chapter,"Dive into the heart of intense two-year Pararescue training called “The Pipeline” at Kirtland Air Force Base. Before they can graduate, trainees must pass several difficult tests, including low-altitude water jump training and weapons training.",47
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,1. Racing the World's Fastest Powerboat,"Dubai is home to the 24 times World Champion Powerboat racing team; The Victory Team. Guy in Dubai gets taken for a thrilling drive in The Beast. Getting up to speeds of over 200 mph, it's no wonder why this machine and its team have won so many trophies.",11
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,2. Freediving in Search of the Arabian Pearl,"Pearl Diving was once the prime industry of the UAE and the Arabian Pearls were the most precious in the World. Pearl divers would freedive to the sea bed to collect pearls in one breath, completing up to 300 dives in a day. Guy in Dubai tries his hand.",21
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,3. Becoming a Paramotor Pilot,"Learning to fly is almost every child's dream. With modern technologies, it's now available, attainable, and affordable. Paramotoring is the easiest, cheapest, and safest way to get yourself into the air. And becoming a pilot takes less time than a plane.",11
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,4. Taking on the World's Longest Zipline,"Ras Al Khaimah is not only the home to the Worlds Longest Zipline, on UAE's tallest mountain Jebal Jais. It's now also the home to the Zipline Tour which has 7 ziplines that take you from peak to peak down Jebal Jais Mountain.",8
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,5. Shark Encounter on Shipwreck Dive,"Taking a trip to Fujairah to complete the Padi course, where we meet face to face with sharks and discover a shipwreck. Fujairah is home to numerous shipwrecks where you can find some of the most beautiful sea life in the world.",11
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,6. Kayak Challenge Around Palm Jumeirah,Palm Jumeirah is the world's largest man-made island with a circumference of around 16 km. Guy in Dubai sets himself the challenge and attempts to kayak around the Palm in under 5 hours. See how he gets on in the challenge.,10
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,7. Learning Formula 1 Racing at the Yas Circuit,Abu Dhabi is home to the Formula 1 Grand Prix at the Yas Marina Circuit. Guy in Dubai turns up the heat as he steps into the driving seat as he learns how to race in an Aston Martin GT4 whilst being directed by a specialist racing coach.,11
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 1,8. Quest to Find a Secret Island,Abu Dhabi is the capital of the UAE and it's also the home to over 200 natural and man-made islands. This makes the nautical discoveries of Abu Dhabi extremely interesting.,10
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,1. Night of Terror on the Arabian Gulf,"On a discovery to find the MV Dara, a shipwreck off the coast of the UAE which was the biggest naval catastrophe since the Titanic when it happened in 1961. The story of the treacherous event is told by a survivor who was a 17-year-old cadet on the ship.",16
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,2. Mountain Extreme,"The Hajar Mountains make up the epic landscapes of Ras Al Khaimah and Fujairah and have become highly popular trekking destinations over recent years. The harsh outdoors landscapes are not to be underestimated, with many emergency rescue call-outs.",12
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,3. Freefall Faculty,"The UAE has become synonymous with limitless possibilities. In a place where men with jetpacks fly alongside A380 planes, it's no wonder why the skydiving community has grown to one of the most prominent in the world.",11
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,4. The Empty Quarte,"The largest uninterrupted body of sand in the world spans across the Arabian Peninsula and contrary to its name, it is home to many highly adapted animals and plants. The best way to see this is by hot air balloon which was the start of our adventure.",12
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,5. Marine Conservation,"It may not appear that the UAE has a large biodiversity, but put your head under the sea's surface and you'll find that the richness of the marine life is vast. These natural marina wonders are under constant environmental threat.",11
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,6. Camel Racing,"The khaleeji love for camel racing is a unique and dear passion for the locals, and it's no surprise that it's fiercely competitive and big money follows it. A visit to a camel racing breeder to understand the business of it.",12
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,"7. 50,000 trees to plant","We often hear that the UAE is 50 years old, but the mangroves can tell you 7,000 years of history inhabiting these areas. As mangrove forests are so vital for our ecosystem the Government has set an initiative to plant 50,000 trees for the 50th year.",10
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,8. Flight Academy,The history of aviation stems from the Arab region when Abbas Ibn Firnas flew the first aircraft in the 9th century and pioneered the early designs for what later became one of the biggest technological innovations in humanity.,12
Guy in Dubai,English,English,2017,Reality TV,"Join Paris Norriss in the adventure series ""Guy in Dubai,"" exploring the thrilling experiences only the City of Dubai can offer residents and visitors.",Serie,https://filmzie.com/content/guy-in-dubai-2017,Season 2,9. Adrenaline Challenge,"The UAE has developed rapidly over the last few decades and has established itself as a leading entertainment destination. We headed to the biggest entertainment destination in the country, Yas Island.",10
Celebrity Fish N Fire,English,English,2016,"Adventure, Reality TV","Fish N Fire brings the energy of a chef and a fishing guide together on the open water and over a hot grill. At times they can agree to disagree, and other times they can act like grumpy old men. Chef Antonio is an award winning Canadian Chef with a passion for fishing, his flourishing business catering for movie sets and their stars has seen him become one of the most sought after Chef's in the entertainment business. Fishing Guide Shawn Degagne is an extremely skilled pro fishing guide in Canada for over 20 years, an avid outdoorsman and former professional hockey player until an injury kept him from playing.",Serie,https://filmzie.com/content/celebrity-fish-n-fire-2016,Season 1,1. Angry Bird Versus the Defensive End,"Shawn and Antonio are in Florida bringing the grid iron players on the open salt water. NFL players Cameron Jordan and Mychal Kendricks will battle it out for the biggest fish. This Mychal's first time fishing, so if he loses"" the big fish"" bet, he can still claim victory over the hot grill with the best tasting meal.",21
